学校名称,指标名称,标准答案,AI答案
中山大学,省级一流本科专业建设点,19,19
暨南大学,省级一流本科专业建设点,34,34
华南理工大学,省级一流本科专业建设点,33,33
华南农业大学,省级一流本科专业建设点,30,30
广州医科大学,省级一流本科专业建设点,4,4
广州中医药大学,省级一流本科专业建设点,11,11
广东药科大学,省级一流本科专业建设点,15,15
华南师范大学,省级一流本科专业建设点,19,19
广州体育学院,省级一流本科专业建设点,5,5
广州美术学院,省级一流本科专业建设点,6,6
星海音乐学院,省级一流本科专业建设点,5,5
广东技术师范大学,省级一流本科专业建设点,19,19
广东财经大学,省级一流本科专业建设点,16,16
广州大学,省级一流本科专业建设点,52,52
广州航海学院,省级一流本科专业建设点,5,5
广东警官学院,省级一流本科专业建设点,5,5
仲恺农业工程学院,省级一流本科专业建设点,13,13
广东金融学院,省级一流本科专业建设点,14,14
广东工业大学,省级一流本科专业建设点,28,28
广东外语外贸大学,省级一流本科专业建设点,29,29
南方医科大学,省级一流本科专业建设点,6,6
广东第二师范学院,省级一流本科专业建设点,5,5
广东轻工职业技术大学,省级一流本科专业建设点,0,0
广东白云学院,省级一流本科专业建设点,6,6
广东培正学院,省级一流本科专业建设点,3,3
广州城市理工学院,省级一流本科专业建设点,6,6
广州软件学院,省级一流本科专业建设点,3,3
广州南方学院,省级一流本科专业建设点,6,6
广东外语外贸大学南国商学院,省级一流本科专业建设点,4,4
广州华商学院,省级一流本科专业建设点,6,6
华南农业大学珠江学院,省级一流本科专业建设点,2,2
广州理工学院,省级一流本科专业建设点,3,3
广州华立学院,省级一流本科专业建设点,2,2
广州应用科技学院,省级一流本科专业建设点,3,3
广州商学院,省级一流本科专业建设点,3,3
广州工商学院,省级一流本科专业建设点,3,3
广州科技职业技术大学,省级一流本科专业建设点,0,0
广州新华学院,省级一流本科专业建设点,5,5
香港科技大学（广州）,省级一流本科专业建设点,0,0
广州番禺职业技术学院,省级一流本科专业建设点,0,0
